,Hotel,Review,remove_stopwords,Polarity,Sentiment
0,Hotel review,"Wonderful ambiance
Wide spread of food items in breakfast special attention by the restaurant staff n chefs
Enjoyed delicious dinner at saffron restaurant accompanied by live music.
Take aways for the travel ahead was the highlight",WonderfulambianceWidespreadfooditemsbreakfastspecialattentionrestaurantstaffnchefsEnjoyeddeliciousdinnersaffronrestaurantaccompaniedlivemusic.Takeawaystravelaheadhighlight,0.4822510822510822,Positive
1,Hotel review,We stayed the night at this hotel along with my grandmother. Received a very good welcome by the hotel staff with wheelchair which was arranged well in time before our arrival at the hotel. Also Minakshi from the hotel staff was very helpful and her...More,Westayednighthotelalonggrandmother.Receivedgoodwelcomehotelstaffwheelchairarrangedwelltimearrivalhotel.AlsoMinakshihotelstaffhelpful...More,0.6366666666666666,Positive
2,Hotel review,"Dear Guest,
Thank you so much for sharing your wonderful experience with us. It gives us immense joy to know that we have been instrumental in making your stay special and memorable. I take great pride in mentioning that our food and beverage outlets have...More","DearGuest,Thankmuchsharingwonderfulexperienceus.Itgivesusimmensejoyknowinstrumentalmakingstayspecialmemorable.Itakegreatpridementioningfoodbeverageoutlets...More",0.5224489795918368,Positive
3,Hotel review,"Monsoon had just arrived, there was a lull the office and kids had there holidays so PROVIDENCE!! we planned to take a short family trip of four days. The next problem was where to go - should we go to Mussoorie or Shimla which were...More","Monsoonarrived,lullofficekidsholidaysPROVIDENCE!!plannedtakeshortfamilytripfourdays.Thenextproblemgo-goMussoorieShimla...More",0.0,Negative
4,Hotel review,"Dear Guest,
Thank you very much for choosing to stay with Jaipur Marriot Hotel over many other hotel options available in the city.
And I am so happy to read your feedback which highlights so many positive areas of hotel that you found impressive. Feedback...More","DearGuest,ThankmuchchoosingstayJaipurMarriotHotelmanyhoteloptionsavailablecity.AndIhappyreadfeedbackhighlightsmanypositiveareashotelfoundimpressive.Feedback...More",0.4452840909090909,Positive
5,Hotel review,well what should i say its a beautiful property. with lost management. I thought i would be pamperpering myself nd my family but i was totally wrong by booking this hotel. The hotel is bright lavish nd beautifull but the rooms nd service is totally...More,wellsaybeautifulproperty.lostmanagement.Ithoughtwouldpamperperingndfamilytotallywrongbookinghotel.Thehotelbrightlavishndbeautifullroomsndservicetotally...More,0.35000000000000003,Positive
6,Hotel review,"This is a perfect located hotel. The service was great. Each staff greets you with a smile from thebtime you enter till you leave.
Delicious breakfast & lunch. Spread for vegetarians is just too delicious. Do not miss it.
Take a high floor with a...More",Thisperfectlocatedhotel.Theservicegreat.Eachstaffgreetssmilethebtimeentertillleave.Deliciousbreakfast&lunch.Spreadvegetariansdelicious.Domiss.Takehighfloor...More,0.71,Positive
7,Hotel review,"Dear Guest,
Thank you for choosing to stay with us and taking time to review your wonderful experience. I am glad that you found the hotel location perfect which is so conveniently reachable because of the close proximity to Airport.
Our wonderful team at Jaipur...More","DearGuest,Thankchoosingstayustakingtimereviewwonderfulexperience.IgladfoundhotellocationperfectconvenientlyreachablecloseproximityAirport.OurwonderfulteamJaipur...More",0.875,Positive
8,Hotel review,Place is a boutique hotel in Jodhpur. Partly a residence for some part of the royal family. Mine was a quick business visit. It's a small property with very less to offer in terms of 5 start enmities. Disappointing gym but great service staff. The...More,PlaceboutiquehotelJodhpur.Partlyresidencepartroyalfamily.Minequickbusinessvisit.It'ssmallpropertylessofferterms5startenmities.Disappointinggymgreatservicestaff.The...More,0.01333333333333333,Negative
9,Hotel review,"Good food, ambience and strategic location (located between the city and airport). Cozy comfortable rooms; above all Good Food and obliging/responsive staff. The rooms were large comfortable and aesthetically decorated. When we went, Hot water was not available.","Goodfood,ambiencestrategiclocation(locatedcityairport).Cozycomfortablerooms;GoodFoodobliging/responsivestaff.Theroomslargecomfortableaestheticallydecorated.Whenwent,Hotwateravailable.",0.2515873015873016,Positive
10,Hotel review,Beautiful property with all modern day amenities with the old world palace charm. The two wings blend nicely and the perfect view of Umaid Bhawan Palace at night makes it even more special to book your stay at this place.,Beautifulpropertymoderndayamenitiesoldworldpalacecharm.ThetwowingsblendnicelyperfectviewUmaidBhawanPalacenightmakesevenspecialbookstayplace.,0.5153061224489796,Positive
11,Hotel review,"We had a lovely stay at Ranbanka Palace.
The room was very clean, the beds were comfy and the bathroom was big.
The pool was perfect to relax after a hot day.
The restaurant has an outdoor area where you can have a perfect dinner...More","WelovelystayRanbankaPalace.Theroomclean,bedscomfybathroombig.Thepoolperfectrelaxhotday.Therestaurantoutdoorareaperfectdinner...More",0.5377777777777778,Positive
12,Hotel review,"I stayed at the Ranbaka Hotel with a friend on a business trip (twin room) for a couple of nights.
ROOM
The twin room was lovely. Heritage style, very comfortable and good bathroom.
RESTAURANT
Very disappointing. For breakfast the food was ok. Not great but...More","IstayedRanbakaHotelfriendbusinesstrip(twinroom)couplenights.ROOMThetwinroomlovely.Heritagestyle,comfortablegoodbathroom.RESTAURANTVerydisappointing.Forbreakfastfoodok.Notgreat...More",0.17333333333333334,Negative
13,Hotel review,"The location was ideal, about 10-12 km from Ajmer city, so it is quiet place to relax and has a reasonable sized swimming-pool.
The property has large rooms, and the rooms allocated to us also had a designated lounge area outside (on the other side...More","Thelocationideal,10-12kmAjmercity,quietplacerelaxreasonablesizedswimming-pool.Thepropertylargerooms,roomsallocatedusalsodesignatedloungeareaoutside(side...More",0.1982142857142857,Negative
14,Hotel review,Excellent stay with good location .Pool is also clean and too good...buffet is also tasty.....here we see the perfect and cooperative staff and management. Nice stay...enjoy in pool...classsy hotel...everything is here what you want.More,Excellentstaygoodlocation.Poolalsocleangood...buffetalsotasty.....hereseeperfectcooperativestaffmanagement.Nicestay...enjoypool...classsyhotel...everythingwant.More,0.7333333333333333,Positive
